question,options,answer,answer_idx,dataset_source
"A 48-year-old woman comes to the emergency department because of a photosensitive blistering rash on her hands, forearms, and face for 3 weeks. The lesions are not itchy. She has also noticed that her urine has been dark brown in color recently. Twenty years ago, she was successfully treated for Coats disease of the retina via retinal sclerotherapy. She is currently on hormonal replacement therapy for perimenopausal symptoms. Her aunt and sister have a history of a similar skin lesions. Examination shows multiple fluid-filled blisters and oozing erosions on the forearms, dorsal side of both hands, and forehead. There is hyperpigmented scarring and patches of bald skin along the sides of the blisters. Laboratory studies show a normal serum ferritin concentration. Which of the following is the most appropriate next step in management to induce remission in this patient?","{""A"": ""Pursue liver transplantation"", ""B"": ""Begin oral thalidomide therapy"", ""C"": ""Begin phlebotomy therapy"", ""D"": ""Begin oral hydroxychloroquine therapy""}",Begin phlebotomy therapy,C,Med-QA
A 70-year-old man presents to a medical clinic reporting blood in his urine and lower abdominal pain for the past few days. He is also concerned about urinary frequency and urgency. He states that he recently completed a cycle of chemotherapy for non-Hodgkin lymphoma. Which medication in the chemotherapy regimen most likely caused his symptoms?,"{""A"": ""Methotrexate"", ""B"": ""Rituximab"", ""C"": ""Cyclophosphamide"", ""D"": ""Prednisone""}",Cyclophosphamide,C,Med-QA
"A 19-year-old woman, accompanied by her parents, presents after a one-week history of abnormal behavior, delusions, and unusual aggression. She denies fever, seizures or illicit drug use. Family history is negative for psychiatric illnesses. She was started on risperidone and sent home with her parents. Three days later, she is brought to the emergency department with fever and confusion. She is not verbally responsive. At the hospital, her temperature is 39.8°C (103.6°F), the blood pressure is 100/60 mm Hg, the pulse rate is 102/min, and the respiratory rate is 16/min. She is extremely diaphoretic and appears stiff. She has spontaneous eye-opening but she is not verbally responsive and she is not following commands. Laboratory studies show:
Sodium 142 mmol/L
Potassium 5.0 mmol/L
Creatinine 1.8 mg/dl
Calcium 10.4 mg/dl
Creatine kinase 9800 U/L
White blood cells 14,500/mm3
Hemoglobin 12.9 g/dl
Platelets 175,000/mm3
Urinalysis shows protein 1+, hemoglobin 3+ with occasional leukocytes and no red blood casts. What is the best first step in the management of this condition?","{""A"": ""Intravenous hydration"", ""B"": ""Paracetamol"", ""C"": ""Stop risperidone"", ""D"": ""Switch risperidone to clozapine""}",Stop risperidone,C,Med-QA
A 6-year-old male who recently immigrated to the United States from Asia is admitted to the hospital with dyspnea. Physical exam reveals a gray pseudomembrane in the patient's oropharynx along with lymphadenopathy. The patient develops myocarditis and expires on hospital day 5. Which of the following would have prevented this patient's presentation and decline?,"{""A"": ""Increased CD4+ T cell count"", ""B"": ""Secretory IgA against viral proteins"", ""C"": ""Increased IgM preventing bacterial invasion"", ""D"": ""Circulating IgG against AB exotoxin""}",Circulating IgG against AB exotoxin,D,Med-QA
"A 31-year-old G2P2 female at 40 weeks gestation presents to the hospital following a rush of water that came from her vagina. She is 4 cm dilated and 80% effaced. Fetal heart tracing shows a pulse of 155/min with variable decelerations. About 12 hours after presentation, she gives birth to a 6 lb 15 oz baby boy with APGAR scores of 8 and 9 at 1 and 5 minutes, respectively. Which of the following structures is responsible for inhibition of female internal genitalia?","{""A"": ""Spermatogonia"", ""B"": ""Allantois"", ""C"": ""Syncytiotrophoblast"", ""D"": ""Sertoli cells""}",Sertoli cells,D,Med-QA
"A 43-year-old woman presents to the emergency department complaining of palpitations, dry cough, and shortness of breath for 1 week. She immigrated to the United States from Korea at the age of 20. She says that her heart is racing and she has never felt these symptoms before. Her cough is dry and is associated with shortness of breath that occurs with minimal exertion. Her past medical history is otherwise unremarkable. She has no allergies and is not currently taking any medications. She is a nonsmoker and an occasional drinker. She denies illicit drug use. Her blood pressure is 100/65 mm Hg, pulse is 76/min, respiratory rate is 23/min, and temperature is 36.8°C (98.2°F). Her physical examination is significant for bibasilar lung crackles and a non-radiating, low-pitched, mid-diastolic rumbling murmur best heard at the apical region. In addition, she has jugular vein distention and bilateral pitting edema in her lower extremities. Which of the following best describes the infectious agent that led to this patient’s condition?","{""A"": ""A bacterium that induces partial lysis of red cells with hydrogen peroxide"", ""B"": ""A bacterium that induces complete lysis of the red cells of a blood agar plate with an oxygen-sensitive cytotoxin"", ""C"": ""A bacterium that induces heme degradation of the red cells of a blood agar plate"", ""D"": ""A bacterium that requires an anaerobic environment to grow properly""}",A bacterium that induces complete lysis of the red cells of a blood agar plate with an oxygen-sensitive cytotoxin,B,Med-QA
"A male neonate is being examined by a pediatrician. His mother informs the doctor that she had a mild fever with rash, muscle pain, and swollen and tender lymph nodes during the second month of gestation. The boy was born at 39 weeks gestation via spontaneous vaginal delivery with no prenatal care. On physical examination, the neonate has normal vital signs. Retinal examination reveals the findings shown in the image. Which of the following congenital heart defects is most likely to be present in this neonate?","{""A"": ""Atrial septal defect"", ""B"": ""Ventricular septal defect"", ""C"": ""Tetralogy of Fallot"", ""D"": ""Patent ductus arteriosus""}",Patent ductus arteriosus,D,Med-QA
"A 4-year-old boy is brought to the emergency department by his parents. He is lethargic and confused and has a severe headache, vomiting, and a high-grade fever since earlier that day. His mother reports that the child was doing well until 2 days ago when he developed a fever and green nasal discharge. The patient has a history of neonatal sepsis, meningococcemia at 18 months of age, and pneumococcal pneumonia at 2 and 3 years of age. His scheduled vaccinations are up to date. His blood pressure is 70/50 mm Hg, heart rate is 120/min, respiratory rate is 22/min, and temperature is 39.3°C (102.4°F). On examination, the child is lethargic and his skin is pale, with several petechiae over his buttocks. There is a purulent nasal discharge from both nostrils. The lungs are clear to auscultation bilaterally. Heart sounds are normal. There is marked neck rigidity. Cerebrospinal fluid analysis shows the following results:
Opening pressure 100 mm H2O
Appearance cloudy
Protein 500 mg/dL (5 g/L)
White blood cells 2500/μL (polymorphonuclear predominance)
Protein 450 mg/dL (4.5 g/L)
Glucose 31 mg/dL (1.7 mmol/L)
Culture positive for N. meningitidis
Which of the following immunological processes is most likely to be impaired in this child?","{""A"": ""Production of IL-2 by Th1 cells"", ""B"": ""Activation of TCRs by MHC-II"", ""C"": ""Formation of C5-9 complex"", ""D"": ""Cleavage of C2 component of complement into C2a and C2b""}",Formation of C5-9 complex,C,Med-QA
"An 8-month-old boy is brought to a medical office by his mother. The mother states that the boy has been very fussy and has not been feeding recently. The mother thinks the baby has been gaining weight despite not feeding well. The boy was delivered vaginally at 39 weeks gestation without complications. On physical examination, the boy is noted to be crying in his mother’s arms. There is no evidence of cyanosis, and the cardiac examination is within normal limits. The crying intensifies when the abdomen is palpated. The abdomen is distended with tympany in the left lower quadrant. You suspect a condition caused by the failure of specialized cells to migrate. What is the most likely diagnosis?","{""A"": ""Meckel diverticulum"", ""B"": ""DiGeorge syndrome"", ""C"": ""Duodenal atresia"", ""D"": ""Hirschsprung disease""}",Hirschsprung disease,D,Med-QA
"A 52-year-old man presents to the emergency department with chest pain radiating to his left jaw and arm. He states that he had experienced similar symptoms when playing basketball. The medical history is significant for diabetes mellitus, hypertension, and GERD, for which he takes metformin, hydrochlorothiazide, and pantoprazole, respectively. The blood pressure is 150/90 mm Hg, the pulse is 100/min, and the respirations are 15/min. The ECG reveals ST elevation in leads V3-V6. He is hospitalized for an acute MI and started on treatment. The next day he complains of dizziness and blurred vision. Repeat vital signs were as follows: blood pressure 90/60 mm Hg, pulse 72/min, and respirations 12/min. The laboratory results were as follows:
Serum chemistry
Sodium 143 mEq/L
Potassium 4.1 mEq/L
Chloride 98 mEq/L
Bicarbonate 22 mEq/L
Blood urea nitrogen  26 mg/dL
Creatinine 2.3 mg/dL
Glucose 120 mg/dL
Which of the following drugs is responsible for this patient’s lab abnormalities?","{""A"": ""Digoxin"", ""B"": ""Pantoprazole"", ""C"": ""Lisinopril"", ""D"": ""Nitroglycerin""}",Lisinopril,C,Med-QA
"A 26-year-old G1P0 woman at 32-weeks gestation presents for follow-up ultrasound. She was diagnosed with gestational diabetes during her second trimester, but admits to poor glucose control and non-adherence to insulin therapy. Fetal ultrasound reveals an asymmetric, enlarged interventricular septum, left ventricular outflow tract obstruction, and significantly reduced ejection fraction. Which of the following is the most appropriate step in management after delivery?","{""A"": ""Emergent open fetal surgery"", ""B"": ""Cardiac magnetic resonance imaging"", ""C"": ""Cardiac catheterization"", ""D"": ""Medical management""}",Medical management,D,Med-QA
"A healthy 22-year-old male participates in a research study you are leading to compare the properties of skeletal and cardiac muscle. You conduct a 3-phased experiment with the participant. In the first phase, you get him to lift up a 2.3 kg (5 lb) weight off a table with his left hand. In the second phase, you get him to do 20 burpees, taking his heart rate to 150/min. In the third phase, you electrically stimulate his gastrocnemius with a frequency of 50 Hz. You are interested in the tension and electrical activity of specific muscles as follows: Biceps in phase 1, cardiac muscle in phase 2, and gastrocnemius in phase 3. What would you expect to be happening in the phases and the respective muscles of interest?","{""A"": ""Recruitment of small motor units at the start of experiments 1 and 2"", ""B"": ""Recruitment of large motor units followed by small motor units in experiment 1"", ""C"": ""Fused tetanic contraction at the end of all three experiments"", ""D"": ""Increase of tension in all phases""}",Increase of tension in all phases,D,Med-QA
"A 4-year-old boy is brought to the physician because of swelling around his eyes for 4 days. The swelling is most severe in the morning and milder by bedtime. Ten days ago, he had a sore throat that resolved spontaneously. His temperature is 37°C (98.6°F), pulse is 103/min, and blood pressure is 88/52 mm Hg. Examination shows 3+ pitting edema of the lower extremities and periorbital edema. The remainder of the examination shows no abnormalities. Laboratory studies show:
Hemoglobin 15.3 g/dL
Leukocyte count 10,500/mm3
Platelet count 480,000/mm3
Serum
Urea nitrogen 36 mg/dL
Glucose 67 mg/dL
Creatinine 0.8 mg/dL
Albumin 2.6 mg/dL
Urine
Blood negative
Glucose negative
Protein 4+
RBC none
WBC 0–1/hpf
Fatty casts numerous
Protein/creatinine ratio 6.8 (N ≤0.2)
Serum complement concentrations are within the reference ranges. Which of the following is the most appropriate next step in management?""","{""A"": ""Enalapril therapy"", ""B"": ""Furosemide therapy"", ""C"": ""Anti-streptolysin O levels"", ""D"": ""Prednisone therapy""}",Prednisone therapy,D,Med-QA
"You are the team physician for an NBA basketball team. On the morning of an important playoff game, an EKG of a star player, Mr. P, shows findings suspicious for hypertrophic cardiomyopathy (HCM). Mr. P is an otherwise healthy, fit, professional athlete.

The playoff game that night is the most important of Mr. P's career. When you inform the coach that you are thinking of restricting Mr. P's participation, he threatens to fire you. Later that day you receive a phone call from the owner of the team threatening a lawsuit should you restrict Mr. P's ability to play. Mr. P states that he will be playing in the game ""if it's the last thing I do.""

Which of the following is the most appropriate next step?","{""A"": ""Consult with a psychiatrist to have Mr. P committed"", ""B"": ""Call the police and have Mr. P arrested"", ""C"": ""Allow Mr. P to play against medical advice"", ""D"": ""Educate Mr. P about the risks of HCM""}",Educate Mr. P about the risks of HCM,D,Med-QA
"A 37-year-old woman presents to the emergency department complaining of generalized malaise, weakness, headache, nausea, vomiting, and diarrhea; she last felt well roughly two days ago. She is otherwise healthy, and takes no medications. Her vital signs are: T 38.0, HR 96 beats per minute, BP 110/73, and O2 sat 96% on room air. Examination reveals a somewhat ill-appearing woman; she is drowsy but arousable and has no focal neurological deficits. Initial laboratory studies are notable for hematocrit 26%, platelets of 80,000/mL, and serum creatinine of 1.5 mg/dL. Which of the following is the most appropriate treatment at this time?","{""A"": ""High-dose glucocorticoids"", ""B"": ""Cyclophosphamide and rituximab"", ""C"": ""Vancomycin and cefepime"", ""D"": ""Plasma exchange therapy""}",Plasma exchange therapy,D,Med-QA
"A 5-week-old infant born at 36 weeks' gestation is brought to the physician for a well-child examination. Her mother reports that she previously breastfed her for 15 minutes every 2 hours but now feeds her for 40 minutes every 4 hours. The infant has six wet diapers and two stools daily. She currently weighs 3500 g (7.7 lb) and is 52 cm (20.4 in) in length. Vital signs are with normal limits. Cardiopulmonary examination shows a grade 4/6 continuous murmur heard best at the left infraclavicular area. After confirming the diagnosis via echocardiography, which of the following is the most appropriate next step in management of this patient?","{""A"": ""Prostaglandin E1 infusion"", ""B"": ""Indomethacin infusion"", ""C"": ""Surgical ligation"", ""D"": ""Percutaneous surgery""}",Indomethacin infusion,B,Med-QA
"A 51-year-old woman comes to the physician because of a 1-day history of right flank pain and bloody urine. Over the past 2 weeks, she has also developed progressive lower extremity swelling and a 3-kg (7-lb) weight gain. She has a history of chronic hepatitis B infection, which was diagnosed 10 years ago. She frequently flies from California to New York for business. She appears fatigued. Her pulse is 98/min, respirations are 18/min, and blood pressure is 135/75 mm Hg. Examination shows periorbital edema, a distended abdomen, and 2+ edema of the lower extremities. The lungs are clear to auscultation. A CT scan of the abdomen shows a nodular liver with ascites, a large right kidney with abundant collateral vessels, and a filling defect in the right renal vein. Urinalysis shows 4+ protein, positive glucose, and fatty casts. Which of the following is the most likely underlying cause of this patient's renal vein findings?","{""A"": ""Acquired factor VIII deficiency"", ""B"": ""Loss of antithrombin III"", ""C"": ""Impaired estrogen degradation"", ""D"": ""Antiphospholipid antibodies""}",Loss of antithrombin III,B,Med-QA
"A 37-year-old woman comes to the physician because of a 6-month history of weight loss, bloating, and diarrhea. She does not smoke or drink alcohol. Her vital signs are within normal limits. She is 173 cm (5 ft 8 in) tall and weighs 54 kg (120 lb); BMI is 18 kg/m2. Physical examination shows bilateral white spots on the temporal half of the conjunctiva, dry skin, and a hard neck mass in the anterior midline that does not move with swallowing. Urinalysis after a D-xylose meal shows an increase in renal D-xylose excretion. Which of the following is most likely to have prevented this patient's weight loss?","{""A"": ""Gluten-free diet"", ""B"": ""Pancreatic enzyme replacement"", ""C"": ""Tetracycline therapy"", ""D"": ""Lactose-free diet""}",Pancreatic enzyme replacement,B,Med-QA
"A 52-year-old man presents for a routine checkup. Past medical history is remarkable for stage 1 systemic hypertension and hepatitis A infection diagnosed 10 years ago. He takes aspirin, rosuvastatin, enalapril daily, and a magnesium supplement every once in a while. He is planning to visit Ecuador for a week-long vacation and is concerned about malaria prophylaxis before his travel. The physician advised taking 1 primaquine pill every day while he is there and for 7 consecutive days after leaving Ecuador. On the third day of his trip, the patient develops an acute onset headache, dizziness, shortness of breath, and fingertips and toes turning blue. His blood pressure is 135/80 mm Hg, heart rate is 94/min, respiratory rate is 22/min, temperature is 36.9℃ (98.4℉), and blood oxygen saturation is 97% in room air. While drawing blood for his laboratory workup, the nurse notes that his blood has a chocolate brown color. Which of the following statements best describes the etiology of this patient’s most likely condition?","{""A"": ""The patient’s condition is due to consumption of water polluted with nitrates."", ""B"": ""This condition resulted from primaquine overdose."", ""C"": ""The condition developed because of his concomitant use of primaquine and magnesium supplement."", ""D"": ""It is a type B adverse drug reaction.""}",It is a type B adverse drug reaction.,D,Med-QA
"A 31-year-old woman, gravida 2, para 1, at 32 weeks' gestation comes to the emergency department for sudden leakage of clear vaginal fluid. Her pregnancy has been uncomplicated. Her first child was born at term by vaginal delivery. She has no history of serious illness. She does not drink alcohol or smoke cigarettes. Current medications include vitamin supplements. Her temperature is 37.2°C (98.9°F), pulse is 70/min, respirations are 18/min, and blood pressure is 128/82 mm Hg. Speculum examination demonstrates clear fluid in the cervical canal. The fetal heart rate is reactive at 160/min with no decelerations. Tocometry shows uterine contractions. Nitrazine testing is positive. She is started on indomethacin. Which of the following is the most appropriate next step in management?","{""A"": ""Administer betamethasone, ampicillin, and proceed with cesarean section"", ""B"": ""Administer ampicillin and perform amnioinfusion"", ""C"": ""Administer betamethasone and ampicillin"", ""D"": ""Administer betamethasone, ampicillin, and proceed with induction of labor""}",Administer betamethasone and ampicillin,C,Med-QA
"A 16-year-old girl is brought to the emergency department by her friends who say that she took a whole bottle of her mom’s medication. They do not know which medication it was she ingested. The patient is slipping in and out of consciousness and is unable to offer any history. Her temperature is 39.6°C (103.2°F), the heart rate is 135/min, the blood pressure is 178/98 mm Hg, and the respiratory rate is 16/min. On physical examination, there is significant muscle rigidity without tremor or clonus. Which of the following is the best course of treatment for this patient?","{""A"": ""Naloxone"", ""B"": ""Dantrolene"", ""C"": ""Fenoldopam"", ""D"": ""Cyproheptadine""}",Dantrolene,B,Med-QA
"A previously healthy 10-year-old boy is brought to the emergency room by his mother 5 hours after the onset of abdominal pain and nausea. Over the past 2 weeks, he has also had progressive abdominal pain and a 4-kg (8.8-lb) weight loss. The mother reports that her son has been drinking more water than usual during this period. Last week he wet his bed three times despite being completely toilet-trained since 3 years of age. His temperature is 37.8°C (100°F), pulse is 128/min, respirations are 35/min, and blood pressure is 95/55 mm Hg. He appears lethargic. Physical examination shows deep and labored breathing and dry mucous membranes. The abdomen is soft, and there is diffuse tenderness to palpation with no guarding or rebound. Serum laboratory studies show:
Na+ 133 mEq/L
K+ 5.9 mEq/L
Cl- 95 mEq/L
HCO3- 13 mEq/L
Urea nitrogen 25 mg/dL
Creatinine 1.0 mg/dL
Urine dipstick is positive for ketones and glucose. Further evaluation is most likely to reveal which of the following?""","{""A"": ""Decreased total body potassium"", ""B"": ""Increased total body sodium"", ""C"": ""Increased arterial pCO2"", ""D"": ""Hypervolemia""}",Decreased total body potassium,A,Med-QA
A 70-year-old Caucasian male visits your office regularly for treatment of New York Heart association class IV congestive heart failure. Which of the following medications would you add to this man's drug regimen in order to improve his overall survival?,"{""A"": ""Spironolactone"", ""B"": ""Amiloride"", ""C"": ""Hydrochlorothiazide"", ""D"": ""Acetazolamide""}",Spironolactone,A,Med-QA
"A 32-year-old woman presents to her primary care physician for a general wellness appointment. The patient has no complaints currently and just wants to be sure that she is in good health. The patient has a past medical history of asthma, hypertension, and anxiety. Her current medications include albuterol, fluticasone, hydrochlorothiazide, lisinopril, and fexofenadine. Her temperature is 99.5°F (37.5°C), blood pressure is 165/95 mmHg, pulse is 70/min, respirations are 15/min, and oxygen saturation is 98% on room air. On exam, you note a healthy young woman with a lean habitus. Cardiac exam reveals a S1 and S2 heart sound with a normal rate. Pulmonary exam is clear to auscultation bilaterally with good air movement. Abdominal exam reveals a bruit, normoactive bowel sounds, and an audible borborygmus. Neurological exam reveals cranial nerves II-XII as grossly intact with normal strength and reflexes in the upper and lower extremities. Which of the following is the best next step in management?","{""A"": ""Raise lisinopril dose"", ""B"": ""Add furosemide"", ""C"": ""Ultrasound with doppler"", ""D"": ""No additional management needed""}",Ultrasound with doppler,C,Med-QA
"A 46-year-old man comes to the emergency department because of a 10-day history of right upper quadrant abdominal pain. He has also been feeling tired and nauseous for the past 6 weeks. On examination, scleral icterus is present. Abdominal examination shows tenderness to palpation in the right upper quadrant. The liver edge is palpated 2 cm below the right costal margin. Laboratory studies show:
Aspartate aminotransferase 1780 U/L
Alanine aminotransferase 2520 U/L
Hepatitis A IgM antibody Negative
Hepatitis B surface antigen Negative
Hepatitis B surface antibody Negative
Hepatitis B core IgM antibody Positive
Hepatitis C antibody Positive
Hepatitis C RNA Negative
Which of the following is the best course of action for this patient?""","{""A"": ""Ribavirin and interferon"", ""B"": ""Supportive therapy"", ""C"": ""Emergency liver transplantation"", ""D"": ""Pegylated interferon-alpha""}",Supportive therapy,B,Med-QA
"A 30-year-old woman is brought to the urgent care clinic by her husband. She complains of numbness around her lips and a tingling sensation in her hands and feet. She underwent near-total thyroidectomy for an enlarged thyroid gland a month ago. Vital signs include: blood pressure is 130/70 mm Hg, pulse is 72/min, respiratory rate is 16/min, and temperature is 37.0°C (98.6°F). A surgical incision scar is present in the anterior aspect of the neck. The attending physician inflates the blood pressure cuff above 150 mm Hg and observes the patient a couple of minutes while measuring her blood pressure. The patient develops sudden stiffness and tingling in her hand. Blood test results are as follows:
Hemoglobin (Hb%) 10.2 g/dL
White blood cell count 7000/mm3
Platelet count 160,000/mm3
Calcium, serum (Ca2+) 6.0 mg/dL
Albumin 4 g/dL
Alanine aminotransferase (ALT), serum 15 U/L
Aspartate aminotransferase (AST), serum 8 U/L
Serum creatinine 0.5 mg/dL
Urea 27 mg/dL
Sodium 137 mEq/L
Potassium 4.5 mEq/L
Magnesium 2.5 mEq/L
Urinalysis shows no white or red blood cells and leukocyte esterase is negative. Which of the following is the next best step in the management of this patient?","{""A"": ""CT scan abdomen with pancreatic protocol"", ""B"": ""Serum vitamin D level"", ""C"": ""24-hour urinary calcium"", ""D"": ""Serum parathyroid hormone (PTH) level""}",Serum parathyroid hormone (PTH) level,D,Med-QA
